Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,HN020_contigs,USMM068_contigs
yacG,yacG,DNA gyrase inhibitor YacG,1,1,1,3,23,,,,189,189,189,,GAHHJF_10225
arfA,arfA,Ribosome alternative rescue factor ArfA,1,1,1,3,22,,,,189,189,189,BKCABM_09570,
ccmD,ccmD,CcmD family protein,1,1,1,3,21,,,,195,195,195,BKCABM_09715,
group_646,,DUF4105 domain-containing protein,1,1,1,3,20,,,,1044,1044,1044,BKCABM_09320,
group_645,,TetR/AcrR family transcriptional regulator,1,1,1,3,19,,,,618,618,618,BKCABM_09595,
group_644,nha,monovalent cation/H+ antiporter subunit A,1,1,1,3,18,,,,2841,2841,2841,BKCABM_09960,
nha,nha,monovalent cation/H+ antiporter subunit A,1,1,1,3,17,,,,2844,2844,2844,,GAHHJF_10405
group_643,,Dodecin domain-containing protein,1,1,1,3,16,,,,201,201,201,BKCABM_10200,
group_642,,Metallo-beta-lactamase domain-containing protein,1,1,1,3,15,,,,1053,1053,1053,,GAHHJF_10100
group_641,,DUF1656 domain-containing protein,1,1,1,3,14,,,,207,207,207,BKCABM_10100,
group_640,ompW,OmpW family protein,1,1,1,3,13,,,,627,627,627,,GAHHJF_10640
group_639,,DUF1656 domain-containing protein,1,1,1,3,12,,,,210,210,210,,GAHHJF_10540
group_638,,Metallo-beta-lactamase domain-containing protein,1,1,1,3,11,,,,1056,1056,1056,BKCABM_09610,
group_637,,DUF4105 domain-containing protein,1,1,1,3,10,,,,1059,1059,1059,,GAHHJF_09875
group_636,,Ribonuclease E,1,1,1,3,9,,,,3375,3375,3375,,GAHHJF_10135
group_635,,Rne/Rng family ribonuclease,1,1,1,3,8,,,,3495,3495,3495,BKCABM_09640,
group_634,recC,RecBCD enzyme subunit RecC,1,1,1,3,7,,,,3666,3666,3666,,GAHHJF_10325
recC,recC,RecBCD enzyme subunit RecC,1,1,1,3,6,,,,3681,3681,3681,BKCABM_09895,
group_633,recB,RecBCD enzyme subunit RecB,1,1,1,3,5,,,,3720,3720,3720,,GAHHJF_10320
recB,recB,RecBCD enzyme subunit RecB,1,1,1,3,4,,,,3753,3753,3753,BKCABM_09890,
group_632,,Fe2OG dioxygenase domain-containing protein,1,1,1,3,3,,,,633,633,633,BKCABM_10115,
group_631,,Fimbrial-type adhesion domain-containing protein,1,1,1,3,1,,,,1074,1074,1074,,GAHHJF_10365
group_630,,Class I glutamine amidotransferase,1,1,1,2,77,,,,738,738,738,BKCABM_08335,
nsrR,nsrR,HTH-type transcriptional repressor NsrR,1,1,1,2,76,,,,450,450,450,BKCABM_08315,
group_629,lysE,LysE family translocator,1,1,1,2,75,,,,645,645,645,,GAHHJF_07520
group_621,,Globin family profile domain-containing protein,1,1,1,2,55,,,,762,762,762,,GAHHJF_07250
group_619,,Glycine zipper domain-containing protein,1,1,1,2,52,,,,375,375,375,BKCABM_08600,
group_618,,Msl2237 protein,1,1,1,2,48,,,,261,261,261,BKCABM_08285,
group_617,,Major facilitator superfamily (MFS) profile domain-containing protein,1,1,1,2,42,,,,1284,1284,1284,,GAHHJF_07500
group_616,rrtA,rhombosortase,1,1,1,2,38,,,,573,573,573,BKCABM_08515,
group_615,cptA,Toxin CptA,1,1,1,2,30,,,,387,387,387,,GAHHJF_07425
group_614,,Glycine zipper domain-containing protein,1,1,1,2,26,,,,387,387,387,,GAHHJF_07525
group_613,,Rrf2 family transcriptional regulator,1,1,1,2,24,,,,387,387,387,,GAHHJF_07245
group_612,,Vancomycin resistance protein,1,1,1,2,21,,,,882,882,882,BKCABM_08540,
cptA,cptA,Toxin CptA,1,1,1,2,20,,,,387,387,387,BKCABM_08500,
rrtA,rrtA,rhombosortase,1,1,1,2,18,,,,582,582,582,,GAHHJF_07440
group_611,,hypothetical protein,1,1,1,2,16,,,,105,105,105,,GAHHJF_07430
group_610,,DUF2970 domain-containing protein,1,1,1,2,15,,,,108,108,108,BKCABM_08505,
group_609,,Alpha/beta hydrolase,1,1,1,2,13,,,,792,792,792,BKCABM_08485,
group_608,,RND transporter,1,1,1,2,12,,,,1017,1017,1017,,GAHHJF_07215
group_607,,hypothetical protein,1,1,1,2,10,,,,420,420,420,BKCABM_08525,
group_606,,HTH lysR-type domain-containing protein,1,1,1,2,9,,,,915,915,915,,GAHHJF_07505
group_605,,HTH araC/xylS-type domain-containing protein,1,1,1,2,8,,,,813,813,813,BKCABM_08580,
hmpA,hmpA,NO-inducible flavohemoprotein,1,1,1,2,7,,,,1209,1209,1209,BKCABM_08320,
group_604,,GGDEF (Diguanylate cyclase) domain-containing protein,1,1,1,2,6,,,,1053,1053,1053,BKCABM_08605,
group_603,,NAD(P)-binding domain-containing protein,1,1,1,2,5,,,,828,828,828,,GAHHJF_07210
group_602,,GMP synthase,1,1,1,2,4,,,,732,732,732,,GAHHJF_07265
group_601,eamA,EamA domain-containing protein,1,1,1,2,3,,,,936,936,936,BKCABM_08585,
group_600,,NAD(P)-binding domain-containing protein,1,1,1,2,2,,,,834,834,834,BKCABM_08280,
group_599,,Bacterial collagen-like protein middle domain-containing protein,1,1,1,2,1,,,,1818,1818,1818,,GAHHJF_07480
group_598,,hypothetical protein,1,1,1,1,959,,,,231,231,231,BKCABM_05025,
group_597,,DUF2171 domain-containing protein,1,1,1,1,958,,,,231,231,231,BKCABM_04645,
group_596,,Ferredoxin 2Fe-2S,1,1,1,1,957,,,,639,639,639,BKCABM_04570,
bioD,bioD,dethiobiotin synthase,1,1,1,1,956,,,,642,642,642,,GAHHJF_10820
serC,serC,3-phosphoserine/phosphohydroxythreonine transaminase,1,1,1,1,955,,,,1080,1080,1080,BKCABM_04875,
group_595,,UPF0033 domain-containing protein,1,1,1,1,954,,,,234,234,234,BKCABM_04115,
group_594,,DUF4124 domain-containing protein,1,1,1,1,953,,,,642,642,642,,GAHHJF_11165
group_593,,hypothetical protein,1,1,1,1,952,,,,237,237,237,,GAHHJF_11365
acpP,acpP,acyl carrier protein,1,1,1,1,951,,,,237,237,237,,GAHHJF_10765
group_592,,Lipoprotein,1,1,1,1,950,,,,237,237,237,,GAHHJF_01660
group_591,,STAS domain-containing protein,1,1,1,1,949,,,,642,642,642,,GAHHJF_02620
group_590,,YiaAB two helix domain-containing protein,1,1,1,1,948,,,,237,237,237,BKCABM_10750,
ompW,ompW,OmpW family outer membrane protein,1,1,1,1,947,,,,1083,1083,1083,BKCABM_04860,
group_589,,Low-complexity protein,1,1,1,1,946,,,,243,243,243,,GAHHJF_01690
group_588,,OmpR/PhoB-type domain-containing protein,1,1,1,1,945,,,,1089,1089,1089,,GAHHJF_01545
virS,virS,HTH-type transcriptional regulator VirS,1,1,1,1,944,,,,1089,1089,1089,BKCABM_11115,
group_587,,ABC-2 type transporter transmembrane domain-containing protein,1,1,1,1,943,,,,1089,1089,1089,BKCABM_04895,
adaA,adaA,Bifunctional transcriptional activator/DNA repair enzyme AdaA,1,1,1,1,942,,,,1089,1089,1089,BKCABM_04710,
group_586,,HTH iclR-type domain-containing protein,1,1,1,1,941,,,,246,246,246,BKCABM_11355,
group_585,,Initiator Rep protein domain-containing protein,1,1,1,1,940,,,,246,246,246,BKCABM_10610,
ychF,ychF,redox-regulated ATPase YchF,1,1,1,1,939,,,,1092,1092,1092,,GAHHJF_01785
adeS,adeS,two-component sensor histidine kinase AdeS,1,1,1,1,938,,,,1092,1092,1092,,GAHHJF_01600
aroC,aroC,chorismate synthase,1,1,1,1,937,,,,1092,1092,1092,,GAHHJF_01435
group_584,,Transcriptional regulator,1,1,1,1,936,,,,246,246,246,BKCABM_10605,
yqiJ,yqiJ,Inner membrane protein yqiJ,1,1,1,1,935,,,,645,645,645,BKCABM_05410,
group_583,,Serine aminopeptidase S33 domain-containing protein,1,1,1,1,934,,,,645,645,645,BKCABM_04435,
hisC,hisC,histidinol-phosphate transaminase,1,1,1,1,933,,,,1092,1092,1092,BKCABM_04455,
pmrA,pmrA,DNA-binding response regulator PmrA,1,1,1,1,932,,,,648,648,648,,GAHHJF_02150
group_582,,Serine aminopeptidase S33 domain-containing protein,1,1,1,1,931,,,,1098,1098,1098,BKCABM_10540,
group_581,,hypothetical protein,1,1,1,1,930,,,,252,252,252,,GAHHJF_02000
group_580,,C2H2-type domain-containing protein,1,1,1,1,929,,,,252,252,252,,GAHHJF_01460
queG,queG,tRNA epoxyqueuosine(34) reductase QueG,1,1,1,1,928,,,,1104,1104,1104,,GAHHJF_01485
group_579,,Molybdopterin synthase sulfur carrier subunit,1,1,1,1,927,,,,252,252,252,BKCABM_04765,
group_578,,Abasic site processing protein,1,1,1,1,926,,,,651,651,651,BKCABM_11175,
filA,filA,Pilus assembly protein FilA,1,1,1,1,925,,,,1107,1107,1107,,GAHHJF_11190
group_577,,RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein,1,1,1,1,924,,,,1107,1107,1107,,GAHHJF_11170
rlmE,rlmE,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,1,1,1,1,923,,,,651,651,651,BKCABM_05325,
esvE2,esvE2,EsvE2,1,1,1,1,922,,,,651,651,651,BKCABM_04805,
rpmA,rpmA,50S ribosomal protein L27,1,1,1,1,921,,,,255,255,255,BKCABM_05765,
group_576,yfhL,YfhL family 4Fe-4S dicluster ferredoxin,1,1,1,1,920,,,,255,255,255,BKCABM_04585,
csrA,csrA,carbon storage regulator CsrA,1,1,1,1,919,,,,255,255,255,BKCABM_04375,
group_575,,SCP2 domain-containing protein,1,1,1,1,918,,,,654,654,654,,GAHHJF_02225
group_574,,hypothetical protein,1,1,1,1,917,,,,258,258,258,,GAHHJF_01345
group_573,glnL,nitrogen regulation protein NR(II),1,1,1,1,916,,,,1110,1110,1110,,GAHHJF_02400
group_572,,Tetratricopeptide repeat protein,1,1,1,1,915,,,,1110,1110,1110,,GAHHJF_01655
group_571,,RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein,1,1,1,1,914,,,,1110,1110,1110,,GAHHJF_01615
glnL,glnL,nitrogen regulation protein NR(II),1,1,1,1,913,,,,1110,1110,1110,BKCABM_10715,
pheA,pheA,prephenate dehydratase,1,1,1,1,912,,,,1110,1110,1110,BKCABM_04460,
group_570,gltS,sodium/glutamate symporter,1,1,1,1,911,,,,657,657,657,,GAHHJF_01585
catB,catB,Muconate cycloisomerase 1,1,1,1,1,910,,,,1113,1113,1113,,GAHHJF_02040
group_569,,Transglycosylase SLT domain-containing protein,1,1,1,1,909,,,,1113,1113,1113,BKCABM_05200,
areB,areB,AreB,1,1,1,1,908,,,,1116,1116,1116,,GAHHJF_02115
group_568,,ABC transmembrane type-1 domain-containing protein,1,1,1,1,907,,,,660,660,660,,GAHHJF_01780
group_567,,Transposase,1,1,1,1,906,,,,264,264,264,BKCABM_11415,
group_566,,Copper resistance protein B,1,1,1,1,905,,,,264,264,264,,GAHHJF_01815
group_565,,HK97 family phage prohead protease,1,1,1,1,904,,,,660,660,660,BKCABM_11295,
yfhL,yfhL,YfhL family 4Fe-4S dicluster ferredoxin,1,1,1,1,903,,,,264,264,264,BKCABM_05520,
lipB,lipB,lipoyl(octanoyl) transferase LipB,1,1,1,1,902,,,,660,660,660,BKCABM_05695,
ribB,ribB,34-dihydroxy-2-butanone 4-phosphate synthase,1,1,1,1,901,,,,660,660,660,BKCABM_05630,
group_564,,Elongation factor P hydroxylase,1,1,1,1,900,,,,663,663,663,,GAHHJF_10790
group_563,rpsT,30S ribosomal protein S20,1,1,1,1,899,,,,267,267,267,BKCABM_10580,
group_562,,DUF1315 domain-containing protein,1,1,1,1,898,,,,267,267,267,BKCABM_04490,
group_561,,DUF4112 domain-containing protein,1,1,1,1,897,,,,663,663,663,BKCABM_05230,
group_560,,DNA-binding response regulator,1,1,1,1,896,,,,663,663,663,BKCABM_04525,
rpsT,rpsT,30S ribosomal protein S20,1,1,1,1,895,,,,270,270,270,,GAHHJF_02300
group_559,,PLD phosphodiesterase domain-containing protein,1,1,1,1,893,,,,270,270,270,BKCABM_10800,
group_558,,NAD-dependent epimerase/dehydratase domain-containing protein,1,1,1,1,892,,,,666,666,666,,GAHHJF_02295
group_557,,Semialdehyde dehydrogenase NAD-binding domain-containing protein,1,1,1,1,891,,,,666,666,666,BKCABM_10575,
group_556,tonB,Energy transducer TonB,1,1,1,1,890,,,,666,666,666,BKCABM_04050,
group_555,,phage integrase Arm DNA-binding domain-containing protein,1,1,1,1,889,,,,1131,1131,1131,BKCABM_11435,
himA,himA,Bacterial nucleoid DNA-binding protein IHF-alpha,1,1,1,1,888,,,,273,273,273,,GAHHJF_02215
group_554,,ABC-2 type transporter transmembrane domain-containing protein,1,1,1,1,887,,,,1131,1131,1131,BKCABM_04890,
dapE,dapE,succinyl-diaminopimelate desuccinylase,1,1,1,1,886,,,,1134,1134,1134,,GAHHJF_11135
group_553,,hypothetical protein,1,1,1,1,885,,,,273,273,273,BKCABM_11405,
group_552,,Toxic anion resistance protein,1,1,1,1,884,,,,1134,1134,1134,BKCABM_04600,
group_551,,Isochorismatase-like domain-containing protein,1,1,1,1,883,,,,669,669,669,BKCABM_04015,
group_550,,Acyl-CoA dehydrogenase,1,1,1,1,882,,,,1137,1137,1137,BKCABM_10870,
group_549,,Peptidase S12 Pab87-related C-terminal domain-containing protein,1,1,1,1,881,,,,276,276,276,BKCABM_05045,
group_548,,RCK N-terminal domain-containing protein,1,1,1,1,880,,,,672,672,672,,GAHHJF_02460
rpiA,rpiA,ribose-5-phosphate isomerase RpiA,1,1,1,1,879,,,,672,672,672,,GAHHJF_02450
group_547,gspL,type II secretion system protein GspL,1,1,1,1,878,,,,1140,1140,1140,,GAHHJF_02650
group_546,,GP-PDE domain-containing protein,1,1,1,1,877,,,,1140,1140,1140,BKCABM_05245,
group_545,,KTSC domain-containing protein,1,1,1,1,876,,,,672,672,672,BKCABM_05135,
gspL,gspL,type II secretion system protein GspL,1,1,1,1,875,,,,1140,1140,1140,BKCABM_04080,
attH,attH,AttH domain-containing protein,1,1,1,1,874,,,,1143,1143,1143,,GAHHJF_02585
group_544,,YgjP-like metallopeptidase domain-containing protein,1,1,1,1,873,,,,675,675,675,,GAHHJF_02445
carA,carA,carbamoyl phosphate synthase small subunit,1,1,1,1,872,,,,1143,1143,1143,BKCABM_05345,
group_543,,Acyl-CoA dehydrogenase,1,1,1,1,871,,,,1143,1143,1143,BKCABM_04470,
yrfG,yrfG,GMP/IMP nucleotidase YrfG,1,1,1,1,870,,,,675,675,675,BKCABM_10625,
tetR,tetR,TetR family transcriptional regulator,1,1,1,1,869,,,,675,675,675,BKCABM_05825,
group_542,,Putative transposase,1,1,1,1,868,,,,285,285,285,,GAHHJF_02010
group_541,,SAM-dependent methyltransferase,1,1,1,1,867,,,,675,675,675,BKCABM_04190,
group_540,,Hydrolase,1,1,1,1,866,,,,678,678,678,,GAHHJF_10750
hisM,hisM,ABC-type amino acid transport system permease component,1,1,1,1,865,,,,678,678,678,,GAHHJF_01735
group_539,,MFS transporter,1,1,1,1,864,,,,285,285,285,BKCABM_05280,
group_538,,Heparan-alpha-glucosaminide N-acetyltransferase catalytic domain-containing protein,1,1,1,1,863,,,,1149,1149,1149,BKCABM_05165,
group_537,,hypothetical protein,1,1,1,1,862,,,,285,285,285,BKCABM_04415,
group_536,,RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein,1,1,1,1,861,,,,1149,1149,1149,BKCABM_04885,
group_535,,Phage gp6-like head-tail connector protein,1,1,1,1,860,,,,288,288,288,BKCABM_11280,
catC,catC,muconolactone Delta-isomerase,1,1,1,1,859,,,,291,291,291,,GAHHJF_02035
bioF,bioF,8-amino-7-oxononanoate synthase,1,1,1,1,858,,,,1158,1158,1158,,GAHHJF_10830
group_534,,CSD domain-containing protein,1,1,1,1,857,,,,294,294,294,BKCABM_05865,
group_533,,DUF493 domain-containing protein,1,1,1,1,856,,,,294,294,294,BKCABM_05690,
gldA,gldA,Alcohol dehydrogenase iron-type/glycerol dehydrogenase GldA domain-containing protein,1,1,1,1,855,,,,1158,1158,1158,,GAHHJF_01805
group_532,,Fatty acid and hydrocarbon transporter (SalD),1,1,1,1,854,,,,1161,1161,1161,,GAHHJF_02125
rplY,rplY,50S ribosomal protein L25,1,1,1,1,853,,,,297,297,297,BKCABM_05605,
group_531,mutS,DNA mismatch repair protein MutS,1,1,1,1,852,,,,687,687,687,BKCABM_05090,
group_530,,TM2 domain-containing protein,1,1,1,1,851,,,,300,300,300,,GAHHJF_04575
group_529,,Alanine racemase,1,1,1,1,850,,,,1164,1164,1164,BKCABM_04695,
group_528,,FUSC family protein,1,1,1,1,849,,,,300,300,300,BKCABM_05650,
azlD,azlD,AzlD family protein,1,1,1,1,848,,,,300,300,300,BKCABM_04350,
metK,metK,methionine adenosyltransferase,1,1,1,1,847,,,,1167,1167,1167,,GAHHJF_01455
group_527,azlC,Azaleucine resistance protein AzlC,1,1,1,1,846,,,,690,690,690,BKCABM_04825,
sucC,sucC,ADP-forming succinate--CoA ligase subunit beta,1,1,1,1,845,,,,1167,1167,1167,BKCABM_05430,
hisZ,hisZ,ATP phosphoribosyltransferase regulatory subunit,1,1,1,1,844,,,,1167,1167,1167,BKCABM_04330,
group_526,,RND efflux pump membrane fusion protein barrel-sandwich domain-containing protein,1,1,1,1,843,,,,1170,1170,1170,,GAHHJF_11335
dapC,dapC,succinyldiaminopimelate transaminase,1,1,1,1,842,,,,1170,1170,1170,,GAHHJF_01840
group_525,,S24 family peptidase,1,1,1,1,841,,,,693,693,693,BKCABM_11385,
group_524,,hypothetical protein,1,1,1,1,840,,,,306,306,306,,GAHHJF_02180
modB,modB,molybdate ABC transporter permease subunit,1,1,1,1,839,,,,693,693,693,BKCABM_04720,
group_523,,Major facilitator superfamily (MFS) profile domain-containing protein,1,1,1,1,838,,,,1170,1170,1170,BKCABM_10535,
fucO,fucO,Alcohol dehydrogenase class IV,1,1,1,1,837,,,,1173,1173,1173,,GAHHJF_01375
group_522,,DUF2570 domain-containing protein,1,1,1,1,836,,,,306,306,306,BKCABM_04355,
group_521,,DUF1705 domain-containing protein,1,1,1,1,835,,,,306,306,306,BKCABM_04320,
group_520,,glutamine amidotransferase,1,1,1,1,834,,,,696,696,696,,GAHHJF_01395
group_519,,Rieske,1,1,1,1,833,,,,309,309,309,,GAHHJF_02485
caiA,caiA,Acyl-CoA dehydrogenase related to the alkylation response protein AidB,1,1,1,1,832,,,,1173,1173,1173,BKCABM_04210,
group_518,,ABC transporter permease,1,1,1,1,831,,,,696,696,696,BKCABM_11135,
group_517,,Pirin family protein,1,1,1,1,829,,,,696,696,696,BKCABM_05145,
gatC,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,1,1,1,1,828,,,,312,312,312,,GAHHJF_10965
group_516,,HtrA-like serine protease,1,1,1,1,827,,,,1179,1179,1179,,GAHHJF_02495
rplU,rplU,50S ribosomal protein L21,1,1,1,1,826,,,,312,312,312,BKCABM_05770,
group_515,,PDZ domain-containing protein,1,1,1,1,825,,,,1179,1179,1179,BKCABM_04985,
lolA,lolA,outer membrane lipoprotein chaperone LolA,1,1,1,1,824,,,,699,699,699,BKCABM_05755,
group_514,,DUF5713 domain-containing protein,1,1,1,1,823,,,,312,312,312,BKCABM_05310,
group_513,,Exonuclease domain-containing protein,1,1,1,1,822,,,,699,699,699,BKCABM_04625,
group_512,,Antibiotic biosynthesis monooxygenase,1,1,1,1,821,,,,312,312,312,BKCABM_04145,
group_511,,OmpR/PhoB-type domain-containing protein,1,1,1,1,820,,,,1182,1182,1182,,GAHHJF_01385
group_510,,Branched-chain amino acid transporter,1,1,1,1,819,,,,315,315,315,,GAHHJF_01420
benE,benE,benzoate/H(+) symporter BenE,1,1,1,1,818,,,,1185,1185,1185,,GAHHJF_02065
group_509,,Alcohol dehydrogenase,1,1,1,1,817,,,,1185,1185,1185,BKCABM_05705,
group_508,,Chromate ion transporter (CHR) family chromate transporter,1,1,1,1,816,,,,1188,1188,1188,,GAHHJF_01700
group_507,,Nitroreductase domain-containing protein,1,1,1,1,815,,,,705,705,705,,GAHHJF_11050
group_506,,NlpC/P60 domain-containing protein,1,1,1,1,814,,,,318,318,318,BKCABM_11220,
group_505,,Branched-chain amino acid transporter,1,1,1,1,813,,,,318,318,318,BKCABM_04820,
group_504,,Short-chain dehydrogenase,1,1,1,1,812,,,,705,705,705,,GAHHJF_01640
arsH,arsH,arsenical resistance protein ArsH,1,1,1,1,811,,,,705,705,705,,GAHHJF_01570
group_503,,Phospholipase A1,1,1,1,1,810,,,,1191,1191,1191,,GAHHJF_02470
group_502,,CoA transferase subunit A,1,1,1,1,809,,,,705,705,705,BKCABM_04235,
iscA,iscA,iron-sulfur cluster assembly protein IscA,1,1,1,1,808,,,,321,321,321,,GAHHJF_02245
group_501,,HTH gntR-type domain-containing protein,1,1,1,1,807,,,,708,708,708,,GAHHJF_10880
group_500,,N-acetyltransferase domain-containing protein,1,1,1,1,806,,,,711,711,711,,GAHHJF_10800
group_499,,HTH arsR-type domain-containing protein,1,1,1,1,805,,,,324,324,324,,GAHHJF_01555
group_498,,HI0933 family flavoprotein,1,1,1,1,804,,,,1197,1197,1197,,GAHHJF_11350
crp,crp,cAMP-activated global transcriptional regulator CRP,1,1,1,1,803,,,,708,708,708,BKCABM_04305,
group_497,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,1,1,1,1,801,,,,1197,1197,1197,,GAHHJF_02370
group_496,,phage major capsid protein,1,1,1,1,800,,,,1197,1197,1197,BKCABM_11290,
ispC,ispC,1-deoxy-D-xylulose-5-phosphate reductoisomerase,1,1,1,1,799,,,,1197,1197,1197,BKCABM_10685,
group_495,,Methylated-DNA--protein-cysteine methyltransferase,1,1,1,1,798,,,,324,324,324,BKCABM_05375,
yhbY,yhbY,ribosome assembly RNA-binding protein YhbY,1,1,1,1,797,,,,324,324,324,BKCABM_05330,
azlC,azlC,Azaleucine resistance protein AzlC,1,1,1,1,796,,,,711,711,711,,GAHHJF_01415
apbC,apbC,iron-sulfur cluster carrier protein ApbC,1,1,1,1,795,,,,1200,1200,1200,,GAHHJF_11225
sdhB,sdhB,Succinate dehydrogenase/fumarate reductase Fe-S protein subunit,1,1,1,1,794,,,,711,711,711,BKCABM_05450,
group_494,,Lipoprotein,1,1,1,1,793,,,,711,711,711,BKCABM_04265,
sbmA,sbmA,peptide antibiotic transporter SbmA,1,1,1,1,792,,,,1203,1203,1203,,GAHHJF_11025
group_493,,Integron gene cassette protein,1,1,1,1,791,,,,327,327,327,BKCABM_10725,
astC,astC,Acetylornithine aminotransferase,1,1,1,1,790,,,,1206,1206,1206,,GAHHJF_11295
group_492,,Molybdopterin synthase catalytic subunit,1,1,1,1,789,,,,327,327,327,BKCABM_04770,
group_491,,hypothetical protein,1,1,1,1,788,,,,714,714,714,BKCABM_11410,
group_490,,Acyl-CoA dehydrogenase,1,1,1,1,787,,,,1206,1206,1206,,GAHHJF_02195
purT,purT,formate-dependent phosphoribosylglycinamide formyltransferase,1,1,1,1,786,,,,1209,1209,1209,,GAHHJF_01830
tsaA,tsaA,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,1,1,1,1,785,,,,717,717,717,BKCABM_04545,
group_489,,Transporter major facilitator family protein,1,1,1,1,784,,,,1209,1209,1209,BKCABM_04865,
group_488,,AB hydrolase-1 domain-containing protein,1,1,1,1,783,,,,720,720,720,,GAHHJF_10840
group_487,,Bcr/CflA family efflux transporter,1,1,1,1,782,,,,1212,1212,1212,,GAHHJF_11055
group_486,,AB hydrolase-1 domain-containing protein,1,1,1,1,781,,,,720,720,720,,GAHHJF_02130
queH,queH,Epoxyqueuosine reductase QueH,1,1,1,1,780,,,,720,720,720,,GAHHJF_01915
group_485,sfnB,SfnB family sulfur acquisition oxidoreductase,1,1,1,1,779,,,,1212,1212,1212,,GAHHJF_01755
group_484,,phage head closure protein,1,1,1,1,778,,,,336,336,336,BKCABM_11275,
odhB,odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase,1,1,1,1,777,,,,1215,1215,1215,BKCABM_05440,
group_483,,TFIIB-type zinc ribbon-containing protein,1,1,1,1,776,,,,1215,1215,1215,,GAHHJF_01350
fdx,fdx,ISC system 2Fe-2S type ferredoxin,1,1,1,1,775,,,,339,339,339,,GAHHJF_02260
group_482,,sodium/glutamate symporter,1,1,1,1,774,,,,339,339,339,,GAHHJF_01590
group_481,,hypothetical protein,1,1,1,1,773,,,,339,339,339,,GAHHJF_01330
iscS,iscS,IscS subfamily cysteine desulfurase,1,1,1,1,772,,,,1218,1218,1218,,GAHHJF_02235
group_480,,hypothetical protein,1,1,1,1,771,,,,726,726,726,BKCABM_04140,
group_479,,Molybdopterin molybdenumtransferase,1,1,1,1,770,,,,1218,1218,1218,BKCABM_04755,
group_478,,Antirepressor protein C-terminal domain-containing protein,1,1,1,1,769,,,,729,729,729,BKCABM_11370,
group_477,,DUF3142 domain-containing protein,1,1,1,1,768,,,,729,729,729,BKCABM_11000,
group_476,,DUF4852 domain-containing protein,1,1,1,1,767,,,,729,729,729,BKCABM_10945,
group_475,pyrH,UMP kinase,1,1,1,1,766,,,,729,729,729,BKCABM_10705,
group_474,,ABC transporter permease,1,1,1,1,765,,,,729,729,729,BKCABM_05290,
sfnB,sfnB,SfnB family sulfur acquisition oxidoreductase,1,1,1,1,764,,,,1224,1224,1224,,GAHHJF_01760
group_473,,Alkane 1-monooxygenase,1,1,1,1,763,,,,1224,1224,1224,,GAHHJF_02200
pyrH,pyrH,UMP kinase,1,1,1,1,762,,,,732,732,732,,GAHHJF_02390
group_472,,Phosphoglycerate mutase,1,1,1,1,761,,,,732,732,732,BKCABM_10595,
group_471,gltS,sodium/glutamate symporter,1,1,1,1,760,,,,1224,1224,1224,BKCABM_10775,
group_470,,CSD domain-containing protein,1,1,1,1,759,,,,732,732,732,BKCABM_05860,
group_469,,DUF4882 domain-containing protein,1,1,1,1,758,,,,735,735,735,,GAHHJF_11185
ynfA,ynfA,YnfA family protein,1,1,1,1,757,,,,351,351,351,,GAHHJF_02420
cysH,cysH,phosphoadenylyl-sulfate reductase,1,1,1,1,756,,,,735,735,735,,GAHHJF_10925
fabG,fabG,3-oxoacyl-ACP reductase FabG,1,1,1,1,755,,,,735,735,735,,GAHHJF_10770
group_468,,Signal peptide-containing protein,1,1,1,1,754,,,,351,351,351,BKCABM_11075,
group_467,,hypothetical protein,1,1,1,1,753,,,,354,354,354,,GAHHJF_02280
group_466,,DUF3168 domain-containing protein,1,1,1,1,752,,,,354,354,354,BKCABM_11265,
group_465,,XRE family transcriptional regulator,1,1,1,1,751,,,,354,354,354,BKCABM_10900,
coaX,coaX,pantothenate kinase,1,1,1,1,750,,,,738,738,738,,GAHHJF_10895
group_464,,DUF1304 domain-containing protein,1,1,1,1,749,,,,354,354,354,BKCABM_05150,
group_463,,hypothetical protein,1,1,1,1,748,,,,354,354,354,BKCABM_04280,
group_462,,Phosphoglycerate mutase,1,1,1,1,747,,,,738,738,738,,GAHHJF_02305
gltS,gltS,sodium/glutamate symporter,1,1,1,1,746,,,,1236,1236,1236,,GAHHJF_11045
group_461,,Phosphoserine phosphatase,1,1,1,1,745,,,,1236,1236,1236,,GAHHJF_01970
group_460,,phage portal protein,1,1,1,1,744,,,,1236,1236,1236,BKCABM_11300,
group_459,,Aspartate carbamoyltransferase,1,1,1,1,743,,,,1236,1236,1236,BKCABM_04270,
pgeF,pgeF,peptidoglycan editing factor PgeF,1,1,1,1,742,,,,741,741,741,BKCABM_05540,
